Customer,Bread,Milk,Eggs,Beer,Chips
c001,12,10,8,0,1
c002,10,8,7,1,0
c003,11,9,6,0,1
c004,1,2,1,10,8
c005,0,1,2,12,10
c006,2,1,0,9,7
c007,6,5,4,4,3
c008,5,6,5,5,4
c009,14,11,9,1,0
c010,2,0,2,11,7
c011,11,8,7,2,0
c012,5,7,4,4,4
c013,12,12,8,0,1
c014,1,3,1,13,11
c015,9,10,7,0,2
c016,3,0,0,14,8
c017,15,7,5,1,1
c018,6,4,2,6,3
c019,10,9,9,0,0
c020,1,1,1,10,7
c021,13,10,6,2,2
c022,4,6,3,5,5
c023,1,1,2,12,9
c024,11,8,10,2,1
c025,1,3,2,10,11
c026,5,4,5,3,5
c027,0,1,0,14,8
c028,12,11,6,1,2
c029,2,2,2,13,6
c030,4,3,6,3,4
c031,11,12,6,1,0
c032,15,9,6,1,1
c033,0,0,2,14,9
c034,6,7,4,4,5
c035,3,2,1,9,10
c036,14,9,9,0,2
c037,2,1,1,9,11
c038,5,6,4,3,5
c039,13,8,7,1,0
c040,11,9,7,1,1
c041,0,2,1,11,12
c042,4,4,4,5,3
c043,2,0,0,7,8
c044,14,7,10,2,2
c045,1,3,1,10,12
c046,7,3,3,6,4
c047,0,0,0,14,10
c048,12,10,9,0,1
c049,3,3,2,11,7
c050,6,5,5,5,2
c051,11,12,5,0,0
c052,13,7,9,1,1
c053,2,1,1,11,7
c054,4,4,6,4,4
c055,1,2,1,8,6
c056,12,9,8,0,0
c057,2,1,0,11,12
c058,7,5,4,3,2
c059,0,2,1,9,8
c060,15,9,7,2,1
c061,2,1,1,10,6
c062,3,7,2,4,3
c063,9,11,9,1,1
c064,11,11,5,0,1
c065,1,2,1,9,10
c066,4,6,6,3,4
c067,2,1,0,7,10
c068,14,11,5,1,0
c069,2,1,1,10,9
c070,4,5,5,3,5
c071,12,9,9,0,2
c072,8,7,10,0,1
c073,0,3,1,12,11
c074,4,3,4,4,3
c075,2,3,0,8,12
c076,15,7,7,2,0
c077,2,1,0,10,11
c078,6,7,3,4,2
c079,1,1,1,14,10
c080,15,11,8,1,1
c081,1,0,1,9,6
c082,5,4,2,4,3
c083,12,10,6,1,1
c084,9,8,7,0,0
